timestamp_utc,run_tag,solution,uptime_s,player_count,avg_rtt_ms,max_rtt_ms,min_rtt_ms,avg_jitter_ms,max_jitter_ms,avg_packet_loss_pct,bytes_sent_delta,bytes_recv_delta,ram_bytes,gc_heap_bytes,gc_gen0_delta,gc_gen1_delta,gc_gen2_delta,cpu_pct
2026-06-06T18:40:50.1631280Z,20260606T183826Z,custom,245.17,19,4.3,7,2,0.4,1,0,3193,466321,439123968,80157096,1,0,0,4.8
2026-06-06T18:40:55.1655990Z,20260606T183826Z,custom,250.18,19,4.3,7,2,0.4,1,0,3509,466204,439123968,96209472,1,0,0,4.7
2026-06-06T18:41:00.1676090Z,20260606T183826Z,custom,255.18,19,4.3,7,2,0.4,1,0,3777,466190,439123968,29111376,2,0,0,4.7
2026-06-06T18:41:05.1704460Z,20260606T183826Z,custom,260.18,19,4.3,7,2,0.4,1,0,3393,465981,429654016,44178912,1,0,0,4.7
2026-06-06T18:41:10.1725080Z,20260606T183826Z,custom,265.18,19,4.3,7,2,0.4,1,0,3643,466098,395427840,60631904,1,0,0,4.8
2026-06-06T18:41:15.1732040Z,20260606T183826Z,custom,270.18,19,16.1,17,5,1.1,1.7,0,3811,466511,367230976,76253776,1,0,0,4.7
2026-06-06T18:41:20.1757760Z,20260606T183826Z,custom,275.19,19,16.1,17,5,1.1,1.7,0,3066,465964,348323840,92335272,1,0,0,4.7
2026-06-06T18:41:25.1780590Z,20260606T183826Z,custom,280.19,19,16.1,17,5,1.1,1.7,0,3642,466580,326451200,25350144,2,0,0,4.8
2026-06-06T18:41:30.1796510Z,20260606T183826Z,custom,285.19,19,16.1,17,5,1.1,1.7,0,3641,466320,320684032,41332080,1,0,0,4.7
2026-06-06T18:41:35.1812980Z,20260606T183826Z,custom,290.19,19,16.1,17,5,1.1,1.7,0,3256,466631,316801024,56676728,1,0,0,4.7
2026-06-06T18:41:40.1839040Z,20260606T183826Z,custom,295.2,19,16.1,17,5,1.1,1.7,0,3515,465737,314228736,72005952,1,0,0,4.7
2026-06-06T18:41:45.1851980Z,20260606T183826Z,custom,300.2,19,14.6,16,3,1.2,1.7,0,4139,466527,312475648,88341976,1,0,0,4.6
2026-06-06T18:41:50.1878300Z,20260606T183826Z,custom,305.2,19,14.6,16,3,1.2,1.7,0,2865,465595,310788096,22206904,2,0,0,4.7
2026-06-06T18:41:55.1903470Z,20260606T183826Z,custom,310.2,19,14.6,16,3,1.2,1.7,0,3712,466130,310362112,37658712,1,0,0,4.8
